transactiontablemodel.cpp,transactiontablemodel.cpp,676,4204,102
transactionview.cpp,transactionview.cpp,4,3716,3
utilitydialog.cpp,utilitydialog.cpp,1416,2708,1412
walletframe.cpp,walletframe.cpp,4,1576,3
walletmodel.cpp,walletmodel.cpp,208,3948,51
walletmodeltransaction.cpp,walletmodeltransaction.cpp,4,1064,3
walletview.cpp,walletview.cpp,4,5244,3
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,4,64,3
paymentservertests.cpp,paymentservertests.cpp,32,1476,26
rpcnestedtests.cpp,rpcnestedtests.cpp,28,120,24
test_main.cpp,test_main.cpp,208,164,32
uritests.cpp,uritests.cpp,4,32,3
blockchain.cpp,blockchain.cpp,2716,2476,198
client.cpp,client.cpp,176,176,176
mining.cpp,mining.cpp,1624,1728,210
misc.cpp,misc.cpp,924,484,75
net.cpp,net.cpp,840,592,172
protocol.cpp,protocol.cpp,336,260,136
rawtransaction.cpp,rawtransaction.cpp,1536,1632,93
server.cpp,server.cpp,624,664,165
interpreter.cpp,interpreter.cpp,1796,3568,516
ismine.cpp,ismine.cpp,28,424,13
script.cpp,script.cpp,20,4312,14
script_error.cpp,script_error.cpp,28,860,15
sigcache.cpp,sigcache.cpp,28,168,24
sign.cpp,sign.cpp,1012,620,124
standard.cpp,standard.cpp,856,668,141
cleanse.cpp,cleanse.cpp,28,1800,14
lockedpool.cpp,lockedpool.cpp,2164,2108,1906
addrman_tests.cpp,addrman_tests.cpp,176,124,60
allocator_tests.cpp,allocator_tests.cpp,8,8,8
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,8,24,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,108,81
blockencodings_tests.cpp,blockencodings_tests.cpp,140,124,77
bloom_tests.cpp,bloom_tests.cpp,4,4,4
bswap_tests.cpp,bswap_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,664,664,373
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,452,5
cuckoocache_tests.cpp,cuckoocache_tests.cpp,32,64,26
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,52,32,25
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,36,124,17
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,596,364,358
miner_tests.cpp,miner_tests.cpp,1416,1500,1353
multisig_tests.cpp,multisig_tests.cpp,36,4,3
net_tests.cpp,net_tests.cpp,164,156,91
netbase_tests.cpp,netbase_tests.cpp,60,44,41
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,72,72
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_tests.cpp,script_tests.cpp,88,88,88
scriptnum_tests.cpp,scriptnum_tests.cpp,700,1216,256
serialize_tests.cpp,serialize_tests.cpp,92,100,62
sighash_tests.cpp,sighash_tests.cpp,260,260,260
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
test_bitcoin.cpp,test_bitcoin.cpp,44,624,22
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,128,120,69
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,152,112,109
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
util_tests.cpp,util_tests.cpp,1184,12,8
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,1836,2752,1770
univalue_read.cpp,univalue_read.cpp,5360,5556,3246
univalue_write.cpp,univalue_write.cpp,3372,3488,3339
unitester.cpp,unitester.cpp,5296,5284,4339
crypter.cpp,crypter.cpp,144,1468,76
db.cpp,db.cpp,688,2500,522
rpcdump.cpp,rpcdump.cpp,1140,4756,94
rpcwallet.cpp,rpcwallet.cpp,2968,7092,99
wallet.cpp,wallet.cpp,424,596,69
walletdb.cpp,walletdb.cpp,20,1208,13
wallet_test_fixture.cpp,wallet_test_fixture.cpp,4,4,4
wallet_tests.cpp,wallet_tests.cpp,528,160,24
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,4,172,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,20,612,14
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,220,932,127
